,NEIBORHOOD GROUP,CLASS,SALE PRICE
448,Manhattan,D,545000
449,Manhattan,D,560000
450,Manhattan,D,527500
452,Manhattan,D,1970000
453,Manhattan,D,1450000
454,Manhattan,D,1850000
456,Manhattan,D,5000000
457,Manhattan,D,1753000
458,Manhattan,D,949000
459,Manhattan,D,2075000
460,Manhattan,D,6000000
461,Manhattan,D,615000
462,Manhattan,D,675000
463,Manhattan,D,615000
464,Manhattan,D,818750
465,Manhattan,D,445000
466,Manhattan,D,550000
467,Manhattan,D,950000
468,Manhattan,D,2275000
469,Manhattan,D,900000
470,Manhattan,D,839000
471,Manhattan,D,839000
472,Manhattan,D,1810000
473,Manhattan,D,4815000
474,Manhattan,D,433000
475,Manhattan,D,1770000
476,Manhattan,D,1645000
477,Manhattan,D,1700000
478,Manhattan,D,2000000
479,Manhattan,D,997500
480,Manhattan,D,210000
481,Manhattan,D,2560000
482,Manhattan,D,2650000
485,Manhattan,R,1150000
487,Manhattan,R,826000
488,Manhattan,R,2560000
489,Manhattan,R,2815000
490,Manhattan,R,3699000
491,Manhattan,R,3020000
493,Manhattan,R,2600000
494,Manhattan,R,7950000
495,Manhattan,R,3210237
496,Manhattan,R,5875000
497,Manhattan,R,44105000
498,Manhattan,R,4650000
500,Manhattan,R,2685000
501,Manhattan,R,15350000
503,Manhattan,R,14650000
506,Manhattan,R,2760000
507,Manhattan,R,2853850
508,Manhattan,R,2599287
509,Manhattan,R,2760000
510,Manhattan,R,6315900
511,Manhattan,R,6875937
512,Manhattan,R,7950000
513,Manhattan,R,5959512
514,Manhattan,R,10490725
515,Manhattan,R,13435504
516,Manhattan,R,10126700
517,Manhattan,R,14563725
519,Manhattan,R,10948937
520,Manhattan,R,15139625
521,Manhattan,R,12018100
522,Manhattan,R,15887450
523,Manhattan,R,11560349
524,Manhattan,R,16466145
525,Manhattan,R,12829362
526,Manhattan,R,16905700
527,Manhattan,R,13443650
528,Manhattan,R,17809925
529,Manhattan,R,13478450
530,Manhattan,R,34623250
532,Manhattan,R,33605000
533,Manhattan,R,6300000
534,Manhattan,R,2800000
535,Manhattan,R,799000
536,Manhattan,R,1340000
537,Manhattan,R,1060000
538,Manhattan,R,1035000
539,Manhattan,R,1040000
540,Manhattan,R,1045000
541,Manhattan,R,1025000
542,Manhattan,R,740000
544,Manhattan,R,1210000
546,Manhattan,R,995000
547,Manhattan,R,995000
548,Manhattan,R,785000
550,Manhattan,R,1020000
551,Manhattan,R,975000
552,Manhattan,R,1650000
553,Manhattan,R,1700000
554,Manhattan,R,257068
555,Manhattan,R,1075000
557,Manhattan,R,2900000
558,Manhattan,R,2875000
559,Manhattan,R,6000000
560,Manhattan,R,6500000
562,Manhattan,R,4225000
563,Manhattan,R,3750000
564,Manhattan,R,1199000
565,Manhattan,R,1255000
567,Manhattan,R,1280000
568,Manhattan,R,1300000
569,Manhattan,R,1300000
570,Manhattan,R,1275000
571,Manhattan,R,2900000
572,Manhattan,R,2750000
585,Manhattan,R,1195000
586,Manhattan,R,1500000
587,Manhattan,R,2075000
588,Manhattan,R,2450000
589,Manhattan,R,4700000
593,Manhattan,R,4000000
595,Manhattan,R,2175000
596,Manhattan,R,4500000
597,Manhattan,R,1180000
598,Manhattan,R,1050000
599,Manhattan,R,2735000
600,Manhattan,R,3815000
601,Manhattan,R,3000000
602,Manhattan,R,1575000
603,Manhattan,R,2200000
604,Manhattan,R,2150000
605,Manhattan,R,2657500
606,Manhattan,R,2965000
607,Manhattan,R,2395000
608,Manhattan,R,1440000
609,Manhattan,R,1222000
610,Manhattan,R,1180000
611,Manhattan,R,775595
612,Manhattan,R,730000
613,Manhattan,R,805000
615,Manhattan,R,3375000
616,Manhattan,R,4250000
617,Manhattan,R,999000
619,Manhattan,R,925000
620,Manhattan,R,975000
621,Manhattan,R,1995000
623,Manhattan,R,1495000
624,Manhattan,R,1425000
625,Manhattan,R,1750000
626,Manhattan,R,2350000
627,Manhattan,R,1950000
628,Manhattan,R,2575000
629,Manhattan,R,2250000
630,Manhattan,R,3175000
631,Manhattan,R,2125000
632,Manhattan,R,2000000
633,Manhattan,R,2600000
634,Manhattan,R,2955000
635,Manhattan,R,882000
636,Manhattan,R,968000
637,Manhattan,R,1025000
638,Manhattan,R,1145000
639,Manhattan,R,675000
640,Manhattan,R,1410000
642,Manhattan,R,1440000
643,Manhattan,R,1820000
644,Manhattan,R,388037
645,Manhattan,R,525000
647,Manhattan,R,820000
648,Manhattan,R,1751390
650,Manhattan,R,1750000
651,Manhattan,R,977500
653,Manhattan,R,1300000
654,Manhattan,R,1325000
655,Manhattan,R,1900000
658,Manhattan,R,5250000
659,Manhattan,R,16900000
660,Manhattan,R,14750000
661,Manhattan,R,10000000
662,Manhattan,R,17500000
664,Manhattan,R,900000
665,Manhattan,R,935000
666,Manhattan,R,975000
667,Manhattan,R,250000
670,Manhattan,R,3025000
672,Manhattan,R,3200000
673,Manhattan,R,3500000
674,Manhattan,R,2700000
675,Manhattan,R,3350000
676,Manhattan,R,4450000
677,Manhattan,R,2050000
679,Manhattan,R,1750000
680,Manhattan,R,3060000
681,Manhattan,R,2788000
682,Manhattan,R,1500000
683,Manhattan,R,1500000
685,Manhattan,R,2600000
686,Manhattan,R,2275000
687,Manhattan,R,2600000
688,Manhattan,R,1750000
690,Manhattan,R,3100000
691,Manhattan,R,5500000
694,Manhattan,R,5300000
696,Manhattan,R,4550000
698,Manhattan,R,3050000
699,Manhattan,R,2562500
700,Manhattan,R,1600000
702,Manhattan,R,2700000
703,Manhattan,R,2945000
704,Manhattan,R,1700000
705,Manhattan,R,2550000
706,Manhattan,R,3050000
707,Manhattan,R,3828219
708,Manhattan,R,3400000
709,Manhattan,R,2270000
712,Manhattan,R,990000
713,Manhattan,R,1725000
714,Manhattan,R,2085000
715,Manhattan,R,2000000
716,Manhattan,R,2825000
717,Manhattan,R,2163100
718,Manhattan,R,1470000
719,Manhattan,R,2050000
750,Manhattan,R,2250000
751,Manhattan,R,205000
752,Manhattan,R,950000
753,Manhattan,R,1090000
754,Manhattan,R,1318000
755,Manhattan,R,1010000
756,Manhattan,R,2750000
757,Manhattan,R,680000
759,Manhattan,R,2250000
760,Manhattan,R,2750000
761,Manhattan,R,1725000
